ID	Transcript number	PERSON	NUMBER	PERSON.NUMBER	ANIMACY	REFLEXIVITY	VOICE
66	TOR_C_00023_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
67	TOR_C_00011_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
68	TOR_C_00019_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
69	TOR_C_0050_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
70	TOR_C_00021_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
71	TOR_C_0004_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
72	TOR_C_0084_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
73	TOR_C_00019_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
74	TOR_C_00019_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
75	TOR_C_00033_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
76	TOR_C_0049_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
77	TOR_C_00034_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
78	TOR_C_0041_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
79	TOR_C_00019_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
80	TOR_C_00011_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
81	TOR_C_00034_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
82	TOR_C_00021_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
83	TOR_C_0046_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
84	TOR_C_0048_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
85	TOR_C_0049_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
86	TOR_C_00018_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
87	TOR_C_00033_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
88	TOR_C_00033_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
89	TOR_C_0004_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
90	TOR_C_0004_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
91	TOR_C_0004_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
92	TOR_C_0004_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
93	TOR_C_00030_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
94	TOR_C_0101_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
95	TOR_C_00011_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
96	TOR_C_00011_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
97	TOR_C_00033_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
98	TOR_C_0037_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
99	TOR_C_0037_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
100	TOR_C_00024_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
101	TOR_C_00033_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
102	TOR_C_00024_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
103	TOR_C_0049_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
104	TOR_C_0049_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
105	TOR_C_00012_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
106	TOR_C_0057_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
107	TOR_C_0001_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
108	TOR_C_0046_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
