ID	File	Case	Function	PoS
101	TOR_C_0037_tagged.txt	na-OBL	IO	NOUN
102	TOR_C_0008_tagged.txt	na-OBL	IO	NOUN
103	TOR_C_0071_tagged.txt	na-OBL	IO	NOUN
104	TOR_C_00019_tagged.txt	na-OBL	IO	NOUN
105	TOR_C_0048_tagged.txt	na-OBL	IO	NOUN
106	TOR_C_0066_tagged.txt	na-OBL	IO	NOUN
107	TOR_C_0066_tagged.txt	na-OBL	IO	NOUN
108	TOR_C_0039_tagged.txt	na-OBL	IO	NOUN
109	TOR_C_0089_tagged.txt	na-OBL	IO	NOUN
110	TOR_C_00023_tagged.txt	na-OBL	IO	NOUN
111	TOR_C_0042_tagged.txt	na-OBL	IO	NOUN
112	TOR_C_0042_tagged.txt	na-OBL	IO	NOUN
113	TOR_C_0046_tagged.txt	na-OBL	IO	NOUN
114	TOR_C_0082_tagged.txt	na-OBL	IO	NOUN
115	TOR_C_0002_tagged.txt	na-OBL	IO	NOUN
116	TOR_C_0080_tagged.txt	na-OBL	IO	NOUN
117	TOR_C_0061_tagged.txt	na-OBL	IO	NOUN
118	TOR_C_0045_tagged.txt	na-OBL	IO	NOUN
119	TOR_C_0066_tagged.txt	na-OBL	IO	NOUN
121	TOR_C_0006_tagged.txt	na-OBL	IO	NOUN
122	TOR_C_0082_tagged.txt	na-OBL	IO	NOUN
123	TOR_C_00016_tagged.txt	na-OBL	IO	NOUN
129	TOR_C_0037_tagged.txt	na-OBL	IO	NOUN
130	TOR_C_0002_tagged.txt	na-OBL	IO	NOUN
131	TOR_C_0089_tagged.txt	na-OBL	IO	NOUN
132	TOR_C_0089_tagged.txt	na-OBL	IO	NOUN
133	TOR_C_0089_tagged.txt	na-OBL	IO	NOUN
134	TOR_C_0037_tagged.txt	na-OBL	IO	NOUN
135	TOR_C_0062_tagged.txt	na-OBL	IO	NOUN
136	TOR_C_0038_tagged.txt	na-OBL	IO	NOUN
137	TOR_C_0040_tagged.txt	na-OBL	IO	NOUN
140	TOR_C_00016_tagged.txt	na-OBL	IO	NOUN
141	TOR_C_0037_tagged.txt	na-OBL	IO	NOUN
142	TOR_C_0073_tagged.txt	na-OBL	IO	NOUN
143	TOR_C_0064_tagged.txt	na-OBL	IO	NOUN
144	TOR_C_0083_tagged.txt	na-OBL	IO	NOUN
145	TOR_C_00033_tagged.txt	na-OBL	IO	NOUN
146	TOR_C_00030_tagged.txt	na-OBL	IO	NOUN
149	TOR_C_0041_tagged.txt	na-OBL	IO	NOUN
150	TOR_C_0086_tagged.txt	na-OBL	IO	NOUN
151	TOR_C_0046_tagged.txt	na-OBL	IO	NOUN
158	TOR_C_00024_tagged.txt	na-OBL	IO	NOUN
159	TOR_C_0037_tagged.txt	na-OBL	IO	NOUN
160	TOR_C_0050_tagged.txt	na-OBL	IO	NOUN
161	TOR_C_0073_tagged.txt	na-OBL	IO	NOUN
162	TOR_C_00023_tagged.txt	na-OBL	IO	NOUN
163	TOR_C_0059_tagged.txt	na-OBL	IO	NOUN
164	TOR_C_00020_tagged.txt	na-OBL	IO	NOUN
165	TOR_C_00030_tagged.txt	na-OBL	IO	NOUN
166	TOR_C_0005_tagged.txt	na-OBL	IO	NOUN
167	TOR_C_00024_tagged.txt	na-OBL	IO	NOUN
168	TOR_C_0099_tagged.txt	na-OBL	IO	NOUN
169	TOR_C_00029_tagged.txt	na-OBL	IO	NOUN
170	TOR_C_0049_tagged.txt	na-OBL	IO	NOUN
171	TOR_C_0001_tagged.txt	na-OBL	IO	NOUN
172	TOR_C_0070_tagged.txt	na-OBL	IO	NOUN
173	TOR_C_00029_tagged.txt	na-OBL	IO	NOUN
174	TOR_C_0041_tagged.txt	na-OBL	IO	NOUN
175	TOR_C_0005_tagged.txt	na-OBL	IO	NOUN
176	TOR_C_0083_tagged.txt	na-OBL	IO	NOUN
177	TOR_C_0069_tagged.txt	na-OBL	IO	NOUN
178	TOR_C_0064_tagged.txt	na-OBL	IO	NOUN
179	TOR_C_0083_tagged.txt	na-OBL	IO	NOUN
180	TOR_C_00020_tagged.txt	na-OBL	IO	NOUN
181	TOR_C_0051_tagged.txt	na-OBL	IO	NOUN
182	TOR_C_0083_tagged.txt	na-OBL	IO	NOUN
183	TOR_C_0037_tagged.txt	na-OBL	IO	NOUN
184	TOR_C_0086_tagged.txt	na-OBL	IO	NOUN
185	TOR_C_00016_tagged.txt	na-OBL	IO	NOUN
186	TOR_C_00033_tagged.txt	na-OBL	IO	NOUN
187	TOR_C_0053_tagged.txt	na-OBL	IO	NOUN
188	TOR_C_0056_tagged.txt	na-OBL	IO	NOUN
189	TOR_C_00016_tagged.txt	na-OBL	IO	NOUN
190	TOR_C_0049_tagged.txt	na-OBL	IO	NOUN
191	TOR_C_0083_tagged.txt	na-OBL	IO	NOUN
192	TOR_C_0101_tagged.txt	na-OBL	IO	NOUN
193	TOR_C_0059_tagged.txt	na-OBL	IO	NOUN
194	TOR_C_0037_tagged.txt	na-OBL	IO	NOUN
195	TOR_C_0080_tagged.txt	na-OBL	IO	NOUN
196	TOR_C_0050_tagged.txt	na-OBL	IO	NOUN
197	TOR_C_0037_tagged.txt	na-OBL	IO	NOUN
198	TOR_C_0002_tagged.txt	na-OBL	IO	NOUN
199	TOR_C_0041_tagged.txt	na-OBL	IO	NOUN
200	TOR_C_00024_tagged.txt	na-OBL	IO	NOUN
201	TOR_C_00024_tagged.txt	na-OBL	IO	NOUN
202	TOR_C_0037_tagged.txt	na-OBL	IO	NOUN
203	TOR_C_00033_tagged.txt	na-OBL	IO	PRONOUN
204	TOR_C_0003_tagged.txt	na-OBL	IO	PRONOUN
205	TOR_C_0041_tagged.txt	na-OBL	IO	PRONOUN
206	TOR_C_00027_tagged.txt	na-OBL	IO	PRONOUN
207	TOR_C_0040_tagged.txt	na-OBL	IO	PRONOUN
208	TOR_C_0066_tagged.txt	na-OBL	IO	PRONOUN
209	TOR_C_0007_tagged.txt	na-OBL	IO	PRONOUN
210	TOR_C_00019_tagged.txt	na-OBL	IO	PRONOUN
211	TOR_C_0080_tagged.txt	na-OBL	IO	NOUN
212	TOR_C_0077_tagged.txt	na-OBL	IO	NOUN
213	TOR_C_0078_tagged.txt	na-OBL	IO	NOUN
214	TOR_C_0073_tagged.txt	na-OBL	IO	NOUN
216	TOR_C_0038_tagged.txt	na-OBL	IO	NOUN
217	TOR_C_0045_tagged.txt	na-OBL	IO	NOUN
218	TOR_C_0041_tagged.txt	na-OBL	IO	NOUN
219	TOR_C_0086_tagged.txt	na-OBL	IO	NOUN
220	TOR_C_0002_tagged.txt	na-OBL	IO	NOUN
221	TOR_C_0002_tagged.txt	na-OBL	IO	NOUN
223	TOR_C_0007_tagged.txt	na-OBL	IO	NOUN
224	TOR_C_00024_tagged.txt	na-OBL	IO	NOUN
225	TOR_C_0041_tagged.txt	na-OBL	IO	NOUN
227	TOR_C_0062_tagged.txt	na-OBL	IO	NOUN
230	TOR_C_00029_tagged.txt	na-OBL	IO	NOUN
232	TOR_C_00018_tagged.txt	na-OBL	IO	NOUN
234	TOR_C_0007_tagged.txt	na-OBL	IO	NOUN
236	TOR_C_00023_tagged.txt	na-OBL	IO	NOUN
239	TOR_C_00016_tagged.txt	na-OBL	IO	NOUN
241	TOR_C_00029_tagged.txt	na-OBL	IO	NOUN
243	TOR_C_00030_tagged.txt	na-OBL	IO	NOUN
245	TOR_C_0051_tagged.txt	na-OBL	IO	NOUN
247	TOR_C_0069_tagged.txt	na-OBL	IO	NOUN
249	TOR_C_00033_tagged.txt	na-OBL	IO	NOUN
251	TOR_C_00034_tagged.txt	na-OBL	IO	NOUN
252	TOR_C_0051_tagged.txt	na-OBL	IO	NOUN
253	TOR_C_00024_tagged.txt	na-OBL	IO	NOUN
254	TOR_C_00016_tagged.txt	na-OBL	IO	NOUN
256	TOR_C_0051_tagged.txt	na-OBL	IO	NOUN
257	TOR_C_0083_tagged.txt	na-OBL	IO	PRONOUN
258	TOR_C_0037_tagged.txt	na-OBL	IO	PRONOUN
259	TOR_C_00033_tagged.txt	na-OBL	IO	PRONOUN
260	TOR_C_0002_tagged.txt	na-OBL	IO	PRONOUN
