ID	File	Case	Function	NounType	Gender	Number	Animacy	ReferenceToPersons
328	TOR_C_00025_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
329	TOR_C_0046_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
330	TOR_C_00019_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
346	TOR_C_0045_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
462	TOR_C_0045_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
469	TOR_C_0050_tagged.txt	na-OBL	IO	PROPER	MASC	SG	ANIMATE	YES
482	TOR_C_0041_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
521	TOR_C_00023_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
522	TOR_C_00023_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
539	TOR_C_0004_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
540	TOR_C_0083_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
541	TOR_C_0006_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
544	TOR_C_00019_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
545	TOR_C_00019_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
551	TOR_C_0070_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
553	TOR_C_00023_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
554	TOR_C_00023_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
556	TOR_C_0007_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
557	TOR_C_0045_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
558	TOR_C_0045_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
583	TOR_C_0058_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
584	TOR_C_0069_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
586	TOR_C_0038_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
589	TOR_C_0058_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
590	TOR_C_0073_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
668	TOR_C_0002_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
671	TOR_C_0045_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
690	TOR_C_0041_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
691	TOR_C_0073_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
692	TOR_C_0006_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
693	TOR_C_0006_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
708	TOR_C_0041_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
709	TOR_C_0041_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
711	TOR_C_0058_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
712	TOR_C_0058_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
713	TOR_C_0058_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
726	TOR_C_0009_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
753	TOR_C_0045_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
754	TOR_C_0045_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
755	TOR_C_0069_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
763	TOR_C_00020_tagged.txt	na-OBL	POSS	PROPER	MASC	SG	ANIMATE	YES
15	TOR_C_0055_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
16	TOR_C_00024_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
25	TOR_C_0079_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
46	TOR_C_0041_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
47	TOR_C_0080_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
48	TOR_C_0041_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
59	TOR_C_00030_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
60	TOR_C_0047_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
116	TOR_C_0080_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
117	TOR_C_0061_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
121	TOR_C_0006_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
173	TOR_C_00029_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
174	TOR_C_0041_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
175	TOR_C_0005_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
176	TOR_C_0083_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
177	TOR_C_0069_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
178	TOR_C_0064_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
179	TOR_C_0083_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
224	TOR_C_00024_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
227	TOR_C_0062_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
234	TOR_C_0007_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
252	TOR_C_0051_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
253	TOR_C_00024_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
254	TOR_C_00016_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
256	TOR_C_0051_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
264	TOR_C_0066_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
294	TOR_C_00023_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
327	TOR_C_0053_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
336	TOR_C_0041_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
337	TOR_C_0066_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
338	TOR_C_00024_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
339	TOR_C_0083_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
340	TOR_C_00024_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
341	TOR_C_00024_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
342	TOR_C_00024_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
360	TOR_C_0083_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
389	TOR_C_00010_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
396	TOR_C_0070_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
415	TOR_C_0080_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
